Science & Technology,Answer,History Question,Answer,Pop Culture Question,Answer,Random Fun Fact Question,Answer,Sports And general Question,Answer
Ada Lovelace write the first computer algorithm,1843,,,50 Cent release 'Get Rich or Die Tryin'',2003,Happy Birthday song become copyrighted,1935,Amazon.com start as an online bookstore,1994
"Alan Turing publish ""On Computable Numbers""",1936,Abel Tasman sight New Zealand,1642,50 Shades of Grey book release spark global phenomenon,2011,"people start saying ""hello"" when answering telephones",1877,Andre Agassi win Career Golden Slam,1999
Albert Einstein publish the special theory of relativity,1905,Abraham Lincoln be assassinated,1865,"ABBA win Eurovision with ""Waterloo""",1974,"the ""&"" symbol (ampersand) evolve from Latin ""et""",63 BC,"Argentina win World Cup with Maradona's ""Goal of the Century""",1986
Alessandro Volta wrap stacked discs of copper and zinc in a cloth to make a battery,1800,Alexander Graham Bell patent the telephone,1876,Adele's '21' become year's best-selling album,2011,"the ""OK"" hand gesture get popularized in America",1840,Arthur Ashe win Wimbledon as first Black men's champion,1975
Alexander Fleming discover penicillin,1928,Alexander the Great defeat the Persian Empire at Gaugamela,331 BC,"Adele's ""21"" become the 21st century's best-selling album",2011,"the ""percent"" symbol (%) evolve from Italian abbreviation",1450,Babe Ruth call his shot in World Series,1932
Alexander Graham Bell patent the telephone,1876,an atomic bomb get dropped on Hiroshima,1945,Amy Winehouse win five Grammys for 'Back to Black',2008,"the ""save"" icon get modeled after floppy disks",1980,Barry Bonds break Hank Aaron's home run record,2007
Benjamin Franklin conduct his kite electricity experiment,1752,Archduke Franz Ferdinand get assasinated,1914,"Amy Winehouse win five Grammys for ""Back to Black""",2008,"the ""smiley face"" symbol get commercially popularized",1963,Beast Mode Marshawn Lynch break tackles in playoff run,2011
bronze metallurgy develop in the Near East,3300 BC,Balboa become the first European to see the Pacific Ocean,1513,"Aretha Franklin release ""Respect""",1967,"the ""thumbs up"" gesture become positive signal",1917,Beer Summit resolve Henry Louis Gates arrest controversy,2009
catapults get developed in China,400 BC,Captain Cook reach Australia,1770,Backstreet Boys' 'Millennium' break sales records,1999,"the ""x"" symbol for kisses originate in medieval signatures",1763,"Billie Jean King defeat Bobby Riggs in ""Battle of the Sexes""",1973
Charles Darwin publish On the Origin of Species,1859,Captain James Cook reach Hawaii,1778,Beyoncé and Jay-Z release 'Crazy in Love',2003,the @ symbol become standard in email addresses,1971,Bloody Sunday at soccer match between Honduras and El Salvador,1969
crude concrete get invented by the egyptians,3000 BC,Charlemagne get crowned as first Holy Roman Emperor,800,"Beyoncé and Jay-Z release collaborative album ""Everything Is Love""",2018,the 24-hour time system become standard globally,,Bo Jackson win MLB All-Star MVP and NFL Pro Bowl,1990
DeepMind's AlphaGo defeat Lee Sedol at Go,2016,"Charles Darwin publish ""On the Origin of Species""",1859,Beyoncé become the first black woman to headline Coachella,2018,"the acronym ""YOLO"" (you only live once) peak in popularity",2012,Boston Celtics win record 17th NBA championship,2008
Dr. Carl Djerassi invent birth control pills,1951,Charles Lindbergh cross the Atlantic solo,1927,"Beyoncé become the first Black woman to win Album of the Year at the Grammys (for ""Cowboy Carter"")",2025,"the custom of saying ""bless you"" after sneezes become common",590,Boston Marathon officially include women competitors,1972
Edwin Hubble prove the existence of other galaxies,1924,,,"Beyoncé headline Coachella as first Black woman (""Beychella"")",2018,the emergency number 911 get established in North America,1968,Brandi Chastain celebrate with sports bra after World Cup win,1999
Enrico Fermi create the first nuclear reactor,1942,Christopher Columbus reach the Americas,1492,"Beyoncé perform at Coachella as first Black woman headliner (""Beychella"")",2018,"the expression ""barking up the wrong tree"" originate in America",1832,Brazil win World Cup at Maracanã (ending home curse),2014
Enrico Fermi discover nuclear energy,1930,Constantine the Great establish Constantinople as new Roman capital,330,Beyoncé reveal her pregnancy at the MTV Video Music Awards,2011,"the expression ""butterflies in your stomach"" get coined",1908,Brett Favre play through father's death for Monday Night Football,2003
Fahrenheit create the mercury thermometer,1714,Constantinople fall to the Ottoman Turks,1453,Beyoncé surprise-drop her self-titled visual album on iTunes,2013,"the expression ""let the cat out of the bag"" become common",1760,Broad Street Bullies Philadelphia Flyers win Stanley Cup,1974
fire get invented,1500 BC,construction of the Great Wall of China begin,700 BC,Bob Dylan go electric at Newport Folk Festival,1965,the first person get executed by guillotine,1792,"Butch Johnson introduce ""jump serve"" in volleyball",1976
fired brick first made in China,4000 BC,Edmund Hillary and Tenzing Norgay summit Mount Everest,1953,Britney Spears gain freedom from conservatorship after #FreeBritney movement,2021,the Great Boston Molasses Disaster occur,1919,Cal Ripken Jr. break Lou Gehrig's consecutive games record,1995
Galileo Galilei observe Jupiter's moons,1610,Ferdinand Magellan's expedition complete circumnavigation,1522,"Britney Spears release ""...Baby One More Time"" launching teen pop phenomenon",1999,the Great British Tea Crisis end with rationing conclusion,1952,Carl Lewis match Jesse Owens' four gold medals,1984
glass first made in Mesopotamia or Aincient Egypt,1500 BC,Fidel Castro come to power in Cuba,1959,Bruce Springsteen release 'Born in the U.S.A.',1984,the Great Cheese Rolling competition become annual tradition,1970,"Chicago Bulls complete second ""three-peat"" NBA championship",1998
Google get founded,1998,Genghis Khan establish the Mongol Empire,1206,BTS become first K-pop act to top Billboard 200,2018,the Great Emu War in Australia occur,1932,Chicago Cubs win World Series ending 108-year drought,2016
Grace Hopper develop the first compiler,1952,Hernán Cortés complete the conquest of the Aztec Empire,1521,BTS become the first K-pop act to top the Billboard 200 chart,2018,the Great Moon Hoax get published in New York Sun,1835,Dale Earnhardt Sr. die in Daytona 500 crash,2001
Guglielmo Marconi send the first transatlantic radio signal,1901,"Isaac Newton publish ""Philosophiæ Naturalis Principia Mathematica""",1687,Caitlyn Jenner come out as transgender on Vanity Fair cover,2015,the Great Pie in the Face Day become an annual event,1970,Dawn Staley become first Black coach to win NCAA title,2017
gunpowder get documented in China,1044,Japan surrender ending WWII,1945,Caitlyn Jenner come out as transgender on Vanity Fair's cover,2015,the Great Pumpkin Flood devastate Pennsylvania,1907,Dennis Rodman visit North Korea as sports diplomat,2013
Henry Ford introduce the Model T automobile,1908,Johannes Gutenberg invent the printing press with movable type,1440,Cardi B become first solo female rapper to win Best Rap Album Grammy,2019,the Great Spaghetti Harvest hoax air on BBC,1957,Derek Jeter become Yankees team captain,2003
Hooke discover cells through microscopy,1665,John Cabot reach North America,1497,"Celine Dion release ""My Heart Will Go On""",1997,the Great Texas Mosquito Festival begin,1981,Derek Redmond finish Olympic race with father's help,1992
IBM's Deep Blue defeat Garry Kasparov at chess,1997,Julius Caesar get assassinated,44 BC,Chappell Roan win Best New Artist while advocating for artist rights,2025,"the green light mean ""go"" in traffic signals",1920,Dick Fosbury win Olympic gold with revolutionary technique,1968
